,mfcc_mean_0,mfcc_var_0,mfcc_mean_1,mfcc_var_1,mfcc_mean_2,mfcc_var_2,mfcc_mean_3,mfcc_var_3,mfcc_mean_4,mfcc_var_4,mfcc_mean_5,mfcc_var_5,mfcc_mean_6,mfcc_var_6,mfcc_mean_7,mfcc_var_7,mfcc_mean_8,mfcc_var_8,mfcc_mean_9,mfcc_var_9,mfcc_mean_10,mfcc_var_10,mfcc_mean_11,mfcc_var_11,mfcc_mean_12,mfcc_var_12,gfcc_mean_0,gfcc_var_0,gfcc_mean_1,gfcc_var_1,gfcc_mean_2,gfcc_var_2,gfcc_mean_3,gfcc_var_3,gfcc_mean_4,gfcc_var_4,gfcc_mean_5,gfcc_var_5,gfcc_mean_6,gfcc_var_6,gfcc_mean_7,gfcc_var_7,gfcc_mean_8,gfcc_var_8,gfcc_mean_9,gfcc_var_9,gfcc_mean_10,gfcc_var_10,gfcc_mean_11,gfcc_var_11,gfcc_mean_12,gfcc_var_12,pitch_mean,pitch_var,pitch_median,gender
831,-756.8809,5234.7627,217.3363,818.2247,-7.0591,303.4849,39.0708,233.2234,0.1855,452.4023,2.0969,190.3628,-18.4872,636.5071,2.6281,166.0377,-1.1444,91.5575,1.2937,132.7506,6.4388,116.7195,-1.9602,74.1619,12.8291,71.4528,-17.1985,2944.7418,49.0758,321.5797,-58.0791,243.0713,-7.989,344.2939,-40.0307,321.3534,-8.2554,220.2465,-8.2337,103.0176,1.0431,78.8446,-12.5572,71.8563,-0.0426,66.877,-13.7145,68.8554,1.0163,44.5022,-7.7745,47.7818,261.5589,65604.6406,172.1832,male
832,-881.2775,7657.0488,127.7661,1927.6486,-0.7866,584.5416,48.1293,431.7104,3.3454,233.0637,20.2376,225.5594,0.1487,256.1733,9.9492,188.4651,11.3636,79.5815,8.0622,83.3685,12.5852,102.3493,3.8179,62.5824,10.7677,73.5098,-119.4077,4335.3297,2.5925,674.6539,-27.8051,388.9061,9.7317,164.6305,-18.3344,420.1445,6.9139,175.495,-7.6929,79.2252,7.9233,57.333,-11.3232,61.8486,1.6729,58.8441,-9.8897,41.0405,0.6014,38.415,-7.6674,35.4016,750.8603,2195242.75,410.4201,male
833,-863.2509,4267.7573,191.1186,2080.6177,16.7481,362.1852,42.9114,318.1374,18.9567,198.2311,11.3236,165.4748,16.4065,201.6243,13.985,114.1287,20.0377,88.2338,3.5598,81.1909,9.3507,122.4183,17.6156,66.3308,6.7292,63.9514,-86.7564,2282.1294,65.7477,385.9111,-24.5459,627.7004,25.9635,237.4942,-12.3591,285.8066,17.8395,159.1128,-2.8573,56.1967,7.3302,42.1236,-6.9855,57.2659,7.687,32.2143,-6.2005,41.8186,3.2001,50.2403,-0.5353,61.0838,9792.6006,112270960.0,1357.4711,male
834,-817.315,8486.3311,175.3932,3332.897,-11.4498,665.1535,51.7808,262.501,5.3869,259.2854,18.9344,279.9427,2.7734,344.4945,-6.169,231.4728,4.2831,245.3237,-10.5955,162.6755,8.1681,77.5217,-3.6116,82.2484,-2.405,59.5087,-71.1205,5650.5085,29.9185,860.6741,-48.6817,715.7225,10.2356,157.6029,-39.2625,308.4722,-4.8165,295.1851,-32.6041,73.9398,1.3999,54.7335,-22.6326,83.165,-2.2506,46.1419,-20.5748,42.4629,-0.1737,35.4733,-11.0069,32.2833,213.9194,152775.6563,135.5105,male
835,-776.6826,5557.7998,169.1213,2052.7441,-16.5163,336.4392,59.0246,338.6992,-16.0531,434.2609,26.5508,379.1442,-4.1335,362.3907,1.8559,239.6295,10.2053,223.3492,-16.7495,125.7778,18.2652,76.3393,-9.8499,55.2919,2.3325,52.6357,-40.8665,3461.7676,14.4715,754.9172,-44.9958,386.7347,2.4577,307.6817,-35.1804,403.051,-0.4006,201.7918,-29.6703,63.804,3.9477,63.3554,-22.6095,53.5681,4.7535,50.7597,-20.5494,40.3698,4.6291,26.8219,-10.0583,25.8972,547.7012,1652398.625,132.9389,male
836,-753.6566,838.2169,137.5535,666.6517,-5.4104,185.0508,76.5371,116.499,-10.1985,59.616,48.8568,51.331,-3.9356,82.8129,27.5034,76.9516,7.2177,60.4309,14.024,45.0694,19.2208,39.0793,6.5127,31.2407,21.1544,29.6724,-13.1443,493.1465,11.4132,218.9192,1.391,71.652,22.8059,135.953,-0.5847,153.4946,16.969,99.4128,-1.3464,39.7877,13.4046,27.9907,-4.9221,25.5158,4.7639,30.4975,-9.202,29.5526,3.0604,24.6186,-7.0246,30.198,1866.8922,2175306.0,1524.212,male
837,-929.3412,24124.7656,82.7201,4096.9097,-10.1296,1344.8817,37.8455,584.8248,-5.0926,703.2213,11.0431,254.7711,-10.84,629.9598,8.0495,155.8221,-6.6093,305.7664,-1.2694,237.172,13.4388,132.0468,-2.9533,140.9999,7.3481,105.9718,-172.2766,15230.0364,-36.7289,1285.8007,-40.3784,623.8784,-5.3867,285.9921,-33.8247,278.6227,-4.695,256.7641,-17.0404,89.8184,-0.3248,77.6467,-12.2383,77.1853,-2.9607,91.1542,-18.7193,96.5787,2.4591,50.5574,-11.0251,54.3962,1554.5908,2550471.25,599.6201,male
838,-738.0297,6561.5059,213.4682,607.5359,-12.3155,576.4166,49.7516,562.0831,-1.5882,475.77,1.6581,317.7137,-18.8935,551.236,3.9469,123.7155,-2.445,109.7955,-2.3417,300.4386,3.1528,120.9464,-2.5183,94.9198,10.7479,89.4281,-4.1298,3922.3526,45.0394,325.1281,-54.8677,455.7246,-6.1892,260.3182,-44.5078,503.2025,-9.6325,195.4122,-10.6988,122.2427,-0.5214,67.1281,-12.0113,78.2989,2.2393,111.8782,-12.2214,90.0686,-1.0597,49.6602,-7.73,51.4616,276.8358,149407.6719,183.9535,male
839,-984.8603,8251.8848,107.4238,1797.465,19.0982,596.4409,37.0059,817.4881,18.2232,256.5355,7.1375,383.1088,4.4015,265.6252,4.1461,194.7483,10.833,96.9432,10.8524,89.0977,6.2322,132.1275,5.6599,59.8064,6.7916,76.0129,-199.2634,4949.3451,4.9792,454.5874,-27.3659,445.2724,11.2021,122.4567,-24.1839,735.8163,5.5133,197.3967,-8.0244,90.0115,7.2203,60.3473,-11.6303,65.825,1.3925,51.8714,-8.0795,41.7306,-0.1485,44.0575,-7.9464,31.1371,736.0289,1673776.0,385.2428,male
840,-840.55,3398.1978,200.295,1782.9784,13.6222,300.6998,45.7234,387.6359,18.4006,187.34,13.0134,133.1918,13.4808,284.6732,13.7478,93.6329,21.9059,76.0885,0.9284,95.4361,8.697,146.5784,14.0558,46.6199,5.4217,57.0244,-68.0497,1802.9204,68.5639,358.3228,-25.583,517.2593,24.8387,176.9016,-13.0454,324.7442,15.6557,191.8943,-2.3119,60.8018,6.4689,42.9113,-8.1663,48.5664,9.6429,39.138,-5.1992,39.9871,2.5443,43.3468,-0.9444,43.0009,10224.0557,116679976.0,760.1816,male
